Extent,HydroGp,Transect,Species,Year,time,TCI,mTCI,Density
0.81,Group 5,17,RRG,2015,-1.5,10,0.405,0.5
0.81,Group 5,17,RRG,2016,-0.5,10,0.405,0.5
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
0.81,Group 5,17,RRG,2015,-1.5,10,0.405,0.5
0.81,Group 5,17,RRG,2016,-0.5,10,0.405,0.5
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
0.81,Group 5,17,RRG,2015,-1.5,10,0.405,0.5
0.81,Group 5,17,RRG,2016,-0.5,10,0.405,0.5
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
0.81,Group 5,17,RRG,2015,-1.5,11,0.648,0.8
0.81,Group 5,17,RRG,2016,-0.5,11,0.648,0.8
0.95,Group 5,17,RRG,2018,1.5,12,0.76,0.8
0.8,Group 5,17,RRG,2015,-1.5,10,0.56,0.7
0.8,Group 5,17,RRG,2016,-0.5,10,0.56,0.7
0.9,Group 5,17,RRG,2018,1.5,11,0.675,0.75
0.8,Group 5,17,RRG,2015,-1.5,10,0.56,0.7
0.8,Group 5,17,RRG,2016,-0.5,10,0.56,0.7
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
0.7,Group 5,17,RRG,2015,-1.5,9,0.42,0.6
0.7,Group 5,17,RRG,2016,-0.5,9,0.42,0.6
0.9,Group 5,17,RRG,2018,1.5,11,0.675,0.75
0.9,Group 5,17,RRG,2015,-1.5,11,0.63,0.7
0.9,Group 5,17,RRG,2016,-0.5,11,0.63,0.7
0.9,Group 5,17,RRG,2018,1.5,10,0.495,0.55
0.91,Group 5,17,RRG,2015,-1.5,12,0.5915,0.65
0.91,Group 5,17,RRG,2016,-0.5,12,0.5915,0.65
0.95,Group 5,17,RRG,2018,1.5,12,0.76,0.8
0.85,Group 5,17,RRG,2015,-1.5,11,0.595,0.7
0.85,Group 5,17,RRG,2016,-0.5,12,0.7225,0.85
0.95,Group 5,17,RRG,2018,1.5,12,0.76,0.8
0.75,Group 2,19,BB,2015,-1.5,10,0.525,0.7
0.75,Group 2,19,BB,2016,-0.5,10,0.525,0.7
0.75,Group 2,19,BB,2018,1.5,11,0.675,0.9
0.15,Group 2,19,BB,2015,-1.5,3,0.015,0.1
0.15,Group 2,19,BB,2016,-0.5,3,0.015,0.1
0.05,Group 2,19,BB,2018,1.5,6,0.0325,0.65
0.6,Group 2,19,BB,2015,-1.5,8,0.36,0.6
0.6,Group 2,19,BB,2016,-0.5,8,0.36,0.6
0.3,Group 1,2,BB,2015,-1.5,5,0.06,0.2
0.3,Group 1,2,BB,2016,-0.5,5,0.06,0.2
0.8,Group 1,2,BB,2018,1.5,10,0.6,0.75
0.6,Group 1,2,BB,2015,-1.5,8,0.36,0.6
0.6,Group 1,2,BB,2016,-0.5,8,0.36,0.6
0.7,Group 1,2,BB,2015,-1.5,9,0.35,0.5
0.7,Group 1,2,BB,2016,-0.5,9,0.35,0.5
0.85,Group 1,2,BB,2018,1.5,12,0.7225,0.85
0.91,Group 1,2,BB,2015,-1.5,11,0.546,0.6
0.91,Group 1,2,BB,2016,-0.5,11,0.546,0.6
0.95,Group 1,2,BB,2018,1.5,12,0.76,0.8
0.5,Group 1,2,BB,2015,-1.5,7,0.15,0.3
0.5,Group 1,2,BB,2016,-0.5,7,0.15,0.3
0.7,Group 1,2,BB,2018,1.5,10,0.56,0.8
0.5,Group 1,2,BB,2015,-1.5,7,0.2,0.4
0.5,Group 1,2,BB,2016,-0.5,7,0.2,0.4
0.8,Group 1,2,BB,2018,1.5,10,0.64,0.8
0.05,Group 2,3,Cooba,2015,-1.5,2,0.0025,0.05
0.05,Group 2,3,Cooba,2016,-0.5,2,0.0025,0.05
0.05,Group 2,3,Cooba,2018,1.5,4,0.015,0.3
0.91,Group 2,3,Cooba,2015,-1.5,12,0.6825,0.75
0.91,Group 2,3,Cooba,2016,-0.5,12,0.6825,0.75
0.95,Group 2,3,Cooba,2018,1.5,11,0.57,0.6
0.91,Group 2,3,Cooba,2015,-1.5,10,0.364,0.4
0.91,Group 2,3,Cooba,2016,-0.5,10,0.364,0.4
0.9,Group 2,3,Cooba,2018,1.5,10,0.45,0.5
0.8,Group 2,3,Cooba,2018,1.5,9,0.4,0.5
0.91,Group 2,3,Cooba,2015,-1.5,11,0.455,0.5
0.91,Group 2,3,Cooba,2016,-0.5,11,0.455,0.5
0.91,Group 2,3,Cooba,2015,-1.5,13,0.7371,0.81
0.91,Group 2,3,Cooba,2016,-0.5,13,0.7371,0.81
0.9,Group 2,3,Cooba,2018,1.5,10,0.54,0.6
0.75,Group 3,7,BB,2018,1.5,10,0.6,0.8
0.5,Group 3,7,BB,2015,-1.5,8,0.25,0.5
0.5,Group 3,7,BB,2016,-0.5,8,0.25,0.5
0.85,Group 3,7,BB,2018,1.5,11,0.68,0.8
0.81,Group 3,7,BB,2015,-1.5,11,0.6075,0.75
0.81,Group 3,7,BB,2016,-0.5,11,0.6075,0.75
0.75,Group 3,7,BB,2018,1.5,10,0.5625,0.75
0.7,Group 3,7,BB,2015,-1.5,10,0.525,0.75
0.7,Group 3,7,BB,2016,-0.5,10,0.525,0.75
0.95,Group 3,7,BB,2018,1.5,12,0.76,0.8
0.7,Group 3,7,BB,2015,-1.5,9,0.42,0.6
0.7,Group 3,7,BB,2016,-0.5,9,0.42,0.6
0.9,Group 3,7,BB,2018,1.5,11,0.72,0.8
0.7,Group 3,7,BB,2015,-1.5,9,0.42,0.6
0.7,Group 3,7,BB,2016,-0.5,9,0.42,0.6
0.85,Group 3,7,BB,2018,1.5,12,0.7225,0.85
0.81,Group 3,7,BB,2015,-1.5,11,0.567,0.7
0.81,Group 3,7,BB,2016,-0.5,11,0.567,0.7
0.9,Group 3,7,BB,2018,1.5,11,0.72,0.8
0.6,Group 3,7,BB,2016,-0.5,7,0.24,0.4
0.6,Group 2,10,BB,2015,-1.5,8,0.36,0.6
0.6,Group 2,10,BB,2016,-0.5,8,0.36,0.6
0.75,Group 2,10,BB,2018,1.5,10,0.5625,0.75
0.5,Group 2,10,BB,2015,-1.5,7,0.2,0.4
0.5,Group 2,10,BB,2016,-0.5,7,0.2,0.4
0.55,Group 2,10,BB,2018,1.5,9,0.4125,0.75
0.6,Group 2,10,BB,2015,-1.5,6,0.12,0.2
0.6,Group 2,10,BB,2016,-0.5,6,0.12,0.2
0.7,Group 2,10,BB,2018,1.5,10,0.49,0.7
0.6,Group 2,10,BB,2015,-1.5,8,0.3,0.5
0.6,Group 2,10,BB,2016,-0.5,8,0.3,0.5
0.75,Group 2,10,BB,2018,1.5,10,0.5625,0.75
0.7,Group 2,10,BB,2015,-1.5,7,0.14,0.2
0.7,Group 2,10,BB,2016,-0.5,7,0.14,0.2
0.75,Group 2,10,BB,2018,1.5,10,0.5625,0.75
0.7,Group 2,10,BB,2015,-1.5,9,0.35,0.5
0.7,Group 2,10,BB,2016,-0.5,9,0.35,0.5
0.8,Group 2,10,BB,2018,1.5,10,0.56,0.7
0.6,Group 2,10,BB,2015,-1.5,7,0.24,0.4
0.8,Group 2,19,BB,2018,1.5,10,0.6,0.75
0.7,Group 2,19,BB,2015,-1.5,10,0.525,0.75
0.7,Group 2,19,BB,2016,-0.5,10,0.525,0.75
0.8,Group 2,19,BB,2018,1.5,10,0.64,0.8
0.8,Group 2,19,BB,2015,-1.5,10,0.52,0.65
0.8,Group 2,19,BB,2016,-0.5,10,0.52,0.65
0.85,Group 2,19,BB,2018,1.5,12,0.7225,0.85
0.41,Group 2,19,BB,2015,-1.5,8,0.1681,0.41
0.41,Group 2,19,BB,2016,-0.5,8,0.1681,0.41
0.75,Group 2,19,BB,2018,1.5,10,0.6,0.8
0.75,Group 2,19,BB,2015,-1.5,10,0.525,0.7
0.75,Group 2,19,BB,2016,-0.5,10,0.525,0.7
0.8,Group 2,19,BB,2018,1.5,11,0.68,0.85
0.7,Group 2,19,BB,2015,-1.5,10,0.525,0.75
0.7,Group 2,19,BB,2016,-0.5,10,0.525,0.75
0.75,Group 2,19,BB,2018,1.5,10,0.6,0.8
0.6,Group 2,19,BB,2015,-1.5,9,0.42,0.7
0.6,Group 2,19,BB,2016,-0.5,9,0.42,0.7
0.8,Group 2,19,BB,2018,1.5,11,0.68,0.85
0.85,Group 2,19,BB,2018,1.5,12,0.7225,0.85
0.85,Group 2,19,BB,2015,-1.5,11,0.595,0.7
0.85,Group 2,19,BB,2016,-0.5,11,0.595,0.7
0.81,Group 2,19,BB,2015,-1.5,11,0.5265,0.65
0.81,Group 2,19,BB,2016,-0.5,11,0.5265,0.65
0.85,Group 2,19,BB,2018,1.5,11,0.68,0.8
0.75,Group 2,19,BB,2015,-1.5,10,0.525,0.7
0.75,Group 2,19,BB,2016,-0.5,10,0.525,0.7
0.75,Group 2,19,BB,2018,1.5,10,0.6,0.8
0.7,Group 2,19,BB,2015,-1.5,10,0.49,0.7
0.7,Group 2,19,BB,2016,-0.5,10,0.49,0.7
0.8,Group 2,19,BB,2018,1.5,11,0.68,0.85
0.2,Group 2,19,BB,2015,-1.5,5,0.05,0.25
0.2,Group 2,19,BB,2016,-0.5,5,0.05,0.25
0.55,Group 2,19,BB,2018,1.5,10,0.4675,0.85
0.6,Group 2,19,BB,2015,-1.5,7,0.18,0.3
0.6,Group 2,19,BB,2016,-0.5,7,0.18,0.3
0.75,Group 2,19,BB,2018,1.5,10,0.5625,0.75
0.3,Group 2,19,BB,2015,-1.5,5,0.06,0.2
0.3,Group 2,19,BB,2016,-0.5,5,0.06,0.2
0.85,Group 2,19,BB,2018,1.5,11,0.68,0.8
0.3,Group 2,19,BB,2015,-1.5,6,0.09,0.3
0.3,Group 2,19,BB,2016,-0.5,6,0.09,0.3
0.5,Group 2,19,BB,2018,1.5,9,0.4,0.8
0.3,Group 2,19,BB,2015,-1.5,6,0.09,0.3
0.3,Group 2,19,BB,2016,-0.5,6,0.09,0.3
0.7,Group 2,19,BB,2018,1.5,10,0.56,0.8
0.6,Group 2,19,BB,2015,-1.5,7,0.18,0.3
0.6,Group 2,19,BB,2016,-0.5,7,0.18,0.3
0.85,Group 2,19,BB,2018,1.5,11,0.68,0.8
0.6,Group 2,19,BB,2015,-1.5,8,0.3,0.5
0.6,Group 2,19,BB,2016,-0.5,8,0.3,0.5
0.8,Group 2,19,BB,2018,1.5,10,0.6,0.75
0.5,Group 2,19,BB,2015,-1.5,8,0.205,0.41
0.5,Group 2,19,BB,2016,-0.5,8,0.205,0.41
0.8,Group 2,19,BB,2018,1.5,11,0.68,0.85
0.3,Group 2,19,BB,2015,-1.5,6,0.09,0.3
0.3,Group 2,19,BB,2016,-0.5,6,0.09,0.3
0.7,Group 2,19,BB,2018,1.5,10,0.56,0.8
0.6,Group 2,19,BB,2015,-1.5,6,0.12,0.2
0.6,Group 2,19,BB,2016,-0.5,6,0.12,0.2
0.9,Group 2,19,BB,2018,1.5,11,0.675,0.75
0.6,Group 2,19,BB,2015,-1.5,7,0.18,0.3
0.6,Group 2,19,BB,2016,-0.5,7,0.18,0.3
0.9,Group 2,19,BB,2018,1.5,11,0.675,0.75
0.5,Group 2,19,BB,2015,-1.5,7,0.15,0.3
0.5,Group 2,19,BB,2016,-0.5,7,0.15,0.3
0.85,Group 2,19,BB,2018,1.5,11,0.6375,0.75
0.5,Group 2,19,BB,2015,-1.5,8,0.205,0.41
0.5,Group 2,19,BB,2016,-0.5,8,0.205,0.41
0.8,Group 2,19,BB,2018,1.5,11,0.68,0.85
0.61,Group 2,19,BB,2015,-1.5,10,0.3721,0.61
0.61,Group 2,19,BB,2016,-0.5,10,0.3721,0.61
0.85,Group 2,19,BB,2018,1.5,12,0.7225,0.85
0.4,Group 2,19,BB,2015,-1.5,6,0.12,0.3
0.4,Group 2,19,BB,2016,-0.5,6,0.12,0.3
0.8,Group 2,19,BB,2018,1.5,10,0.6,0.75
0.6,Group 2,19,BB,2015,-1.5,7,0.18,0.3
0.6,Group 2,19,BB,2016,-0.5,7,0.18,0.3
0.75,Group 2,19,BB,2018,1.5,10,0.6,0.8
0.3,Group 2,19,BB,2015,-1.5,6,0.09,0.3
0.3,Group 2,19,BB,2016,-0.5,6,0.09,0.3
0.75,Group 2,19,BB,2018,1.5,10,0.5625,0.75
1,Group 5,18,RRG,2015,-1.5,14,0.91,0.91
1,Group 5,18,RRG,2016,-0.5,14,0.91,0.91
1,Group 5,18,RRG,2015,-1.5,11,0.5,0.5
1,Group 5,18,RRG,2016,-0.5,11,0.5,0.5
0.91,Group 5,18,RRG,2015,-1.5,12,0.637,0.7
0.91,Group 5,18,RRG,2016,-0.5,12,0.637,0.7
0.9,Group 5,18,RRG,2018,1.5,11,0.63,0.7
0.95,Group 5,18,RRG,2018,1.5,12,0.665,0.7
1,Group 5,18,RRG,2015,-1.5,14,0.91,0.91
1,Group 5,18,RRG,2016,-0.5,14,0.91,0.91
1,Group 5,18,RRG,2015,-1.5,14,0.91,0.91
1,Group 5,18,RRG,2016,-0.5,14,0.91,0.91
0.85,Group 5,18,RRG,2018,1.5,12,0.7225,0.85
1,Group 5,18,RRG,2015,-1.5,13,0.81,0.81
1,Group 5,18,RRG,2016,-0.5,13,0.81,0.81
0.91,Group 5,18,RRG,2015,-1.5,13,0.7371,0.81
0.91,Group 5,18,RRG,2016,-0.5,13,0.7371,0.81
1,Group 5,18,RRG,2018,1.5,12,0.8,0.8
1,Group 5,18,RRG,2015,-1.5,13,0.9,0.9
1,Group 5,18,RRG,2016,-0.5,13,0.9,0.9
0.4,Group 5,18,RRG,2018,1.5,8,0.3,0.75
1,Group 5,18,RRG,2015,-1.5,13,0.81,0.81
1,Group 5,18,RRG,2016,-0.5,13,0.81,0.81
0.95,Group 5,18,RRG,2018,1.5,12,0.76,0.8
1,Group 5,18,RRG,2015,-1.5,13,0.81,0.81
1,Group 5,18,RRG,2016,-0.5,13,0.81,0.81
0.5,Group 5,18,RRG,2018,1.5,9,0.35,0.7
0.91,Group 5,18,RRG,2015,-1.5,13,0.7371,0.81
0.91,Group 5,18,RRG,2016,-0.5,13,0.7371,0.81
0.95,Group 5,18,RRG,2018,1.5,12,0.7125,0.75
0.91,Group 5,18,RRG,2015,-1.5,13,0.7371,0.81
0.91,Group 5,18,RRG,2016,-0.5,13,0.7371,0.81
0.9,Group 5,18,RRG,2018,1.5,11,0.675,0.75
0.91,Group 5,18,RRG,2015,-1.5,13,0.7371,0.81
0.91,Group 5,18,RRG,2016,-0.5,13,0.7371,0.81
0.95,Group 5,18,RRG,2018,1.5,12,0.665,0.7
0.91,Group 5,18,RRG,2015,-1.5,13,0.7371,0.81
0.91,Group 5,18,RRG,2016,-0.5,13,0.7371,0.81
0.95,Group 5,18,RRG,2018,1.5,12,0.665,0.7
0.91,Group 5,18,RRG,2015,-1.5,11,0.546,0.6
0.91,Group 5,18,RRG,2016,-0.5,11,0.546,0.6
0.95,Group 5,18,RRG,2018,1.5,12,0.7125,0.75
0.91,Group 5,18,RRG,2015,-1.5,12,0.637,0.7
0.91,Group 5,18,RRG,2016,-0.5,12,0.637,0.7
0.9,Group 5,18,RRG,2018,1.5,11,0.675,0.75
0.91,Group 5,18,RRG,2015,-1.5,12,0.6825,0.75
0.91,Group 5,18,RRG,2016,-0.5,12,0.6825,0.75
0.95,Group 5,18,RRG,2018,1.5,12,0.7125,0.75
1,Group 5,18,RRG,2015,-1.5,13,0.9,0.9
1,Group 5,18,RRG,2016,-0.5,13,0.9,0.9
0.95,Group 5,18,RRG,2018,1.5,12,0.665,0.7
0.9,Group 5,18,RRG,2016,-0.5,11,0.63,0.7
0.7,Group 5,18,RRG,2018,1.5,10,0.49,0.7
0.9,Group 5,18,RRG,2015,-1.5,11,0.63,0.7
0.6,Group 5,18,RRG,2015,-1.5,8,0.36,0.6
0.6,Group 5,18,RRG,2016,-0.5,8,0.36,0.6
0.95,Group 5,18,RRG,2018,1.5,13,0.8075,0.85
0.91,Group 5,18,RRG,2015,-1.5,12,0.637,0.7
0.91,Group 5,18,RRG,2016,-0.5,12,0.637,0.7
0.85,Group 5,18,RRG,2018,1.5,12,0.7225,0.85
0.91,Group 5,18,RRG,2015,-1.5,14,0.8281,0.91
0.91,Group 5,18,RRG,2016,-0.5,14,0.8281,0.91
0.9,Group 5,18,RRG,2018,1.5,11,0.72,0.8
0.9,Group 5,18,RRG,2015,-1.5,11,0.675,0.75
0.9,Group 5,18,RRG,2016,-0.5,11,0.675,0.75
0.95,Group 5,18,RRG,2018,1.5,12,0.7125,0.75
0.91,Group 5,18,RRG,2015,-1.5,13,0.819,0.9
0.91,Group 5,18,RRG,2016,-0.5,13,0.819,0.9
0.9,Group 5,18,RRG,2015,-1.5,11,0.63,0.7
0.9,Group 5,18,RRG,2016,-0.5,11,0.63,0.7
0.95,Group 5,18,RRG,2018,1.5,12,0.76,0.8
0.9,Group 5,18,RRG,2015,-1.5,10,0.45,0.5
0.9,Group 5,18,RRG,2016,-0.5,10,0.45,0.5
0.95,Group 5,18,RRG,2018,1.5,12,0.665,0.7
0.9,Group 5,18,RRG,2015,-1.5,11,0.675,0.75
0.9,Group 5,18,RRG,2016,-0.5,11,0.675,0.75
0.95,Group 5,18,RRG,2018,1.5,12,0.7125,0.75
0.4,Group 5,18,RRG,2015,-1.5,7,0.164,0.41
0.4,Group 5,18,RRG,2016,-0.5,7,0.164,0.41
0.6,Group 5,18,RRG,2018,1.5,10,0.51,0.85
0.7,Group 5,18,RRG,2015,-1.5,10,0.49,0.7
0.7,Group 5,18,RRG,2016,-0.5,10,0.49,0.7
0.8,Group 5,18,RRG,2018,1.5,10,0.64,0.8
0.75,Group 5,18,RRG,2015,-1.5,11,0.6075,0.81
0.75,Group 5,18,RRG,2016,-0.5,11,0.6075,0.81
0.95,Group 5,18,RRG,2018,1.5,13,0.8075,0.85
0.7,Group 1,2,BB,2015,-1.5,9,0.35,0.5
